neighborhood group,shape id,point id,longitude,latitude,,,,,,,,
Interbay,7,29,-122.3810082,47.6469637,,,,,,,,
Interbay,7,30,-122.3849564,47.65505841,,,,,,,,
Interbay,7,31,-122.3950844,47.66141766,,,,,,,,
Interbay,7,32,-122.4029808,47.66396115,,,,,,,,
Lake City,8,0,-122.3123322,47.73394054,,,,,,,,
Lake City,8,1,-122.2841797,47.73370963,,,,,,,,
Lake City,8,2,-122.2812615,47.73116955,,,,,,,,
Lake City,8,3,-122.2824631,47.72966853,,,,,,,,
Lake City,8,4,-122.2797165,47.72481879,,,,,,,,
Lake City,8,5,-122.2800598,47.71939117,,,,,,,,
Lake City,8,6,-122.2786866,47.71904471,,,,,,,,
Lake City,8,7,-122.2719918,47.69501766,,,,,,,,
Lake City,8,8,-122.2658119,47.6901647,,,,,,,,
Lake City,8,9,-122.2670136,47.68877806,,,,,,,,
Lake City,8,10,-122.2730217,47.69282233,,,,,,,,
Lake City,8,11,-122.2783432,47.69155131,,,,,,,,
Lake City,8,12,-122.2804032,47.69675075,,,,,,,,
Lake City,8,13,-122.3035775,47.69732844,,,,,,,,
Lake City,8,14,-122.3023758,47.70079441,,,,,,,,
Lake City,8,15,-122.3125038,47.70033229,,,,,,,,
Magnolia,9,0,-122.4356807,47.66224105,,,,,,,,
Magnolia,9,1,-122.4243511,47.66501571,,,,,,,,
Magnolia,9,2,-122.4178279,47.66906183,,,,,,,,
Magnolia,9,3,-122.4097599,47.67160494,,,,,,,,
Magnolia,9,4,-122.4059833,47.66651859,,,,,,,,
Magnolia,9,5,-122.4027217,47.66547814,,,,,,,,
Magnolia,9,6,-122.404095,47.66443767,,,,,,,,
Magnolia,9,7,-122.4023784,47.66270351,,,,,,,,
Magnolia,9,8,-122.395512,47.66096928,,,,,,,,
Magnolia,9,9,-122.3855556,47.65495687,,,,,,,,
Magnolia,9,10,-122.3817791,47.64709343,,,,,,,,
Magnolia,9,11,-122.3865856,47.64165772,,,,,,,,
Magnolia,9,12,-122.3864139,47.63784082,,,,,,,,
Magnolia,9,13,-122.3932804,47.6314787,,,,,,,,
Magnolia,9,14,-122.394482,47.6307846,,,,,,,,
Magnolia,9,15,-122.4032367,47.63379228,,,,,,,,
Magnolia,9,16,-122.4073566,47.63494904,,,,,,,,
Magnolia,9,17,-122.417313,47.6420047,,,,,,,,
Magnolia,9,18,-122.4186863,47.64778731,,,,,,,,
Magnolia,9,19,-122.4186863,47.65079402,,,,,,,,
Magnolia,9,20,-122.427441,47.65831003,,,,,,,,
Northgate,10,0,-122.345106,47.73412357,,,,,,,,
Northgate,10,1,-122.3123187,47.73400812,,,,,,,,
Northgate,10,2,-122.3130053,47.6995912,,,,,,,,
Northgate,10,3,-122.3032206,47.70028438,,,,,,,,
Northgate,10,4,-122.3047656,47.69670284,,,,,,,,
Northgate,10,5,-122.3064822,47.69034789,,,,,,,,
Northgate,10,6,-122.3068255,47.68456998,,,,,,,,
Northgate,10,7,-122.3111171,47.68491668,,,,,,,,
Northgate,10,8,-122.3123187,47.68318319,,,,,,,,
Northgate,10,9,-122.3209018,47.68352989,,,,,,,,
Northgate,10,10,-122.3284549,47.68977012,,,,,,,,
Northgate,10,11,-122.3442477,47.69011678,,,,,,,,
Queen Anne,11,0,-122.374841,47.65693345,,,,,,,,
Queen Anne,11,1,-122.3735535,47.6576272,,,,,,,,
Queen Anne,11,2,-122.3721802,47.65756938,,,,,,,,
Queen Anne,11,3,-122.3703778,47.65722251,,,,,,,,
Queen Anne,11,4,-122.3690903,47.65618187,,,,,,,,
Queen Anne,11,5,-122.3697769,47.65560373,,,,,,,,
Queen Anne,11,6,-122.3670304,47.65398491,,,,,,,,
Queen Anne,11,7,-122.3638546,47.65248167,,,,,,,,
Queen Anne,11,8,-122.3633396,47.65317548,,,,,,,,
Queen Anne,11,9,-122.3575032,47.65005327,,,,,,,,
Queen Anne,11,10,-122.3496067,47.64669957,,,,,,,,
Queen Anne,11,11,-122.3434269,47.64270955,,,,,,,,
Queen Anne,11,12,-122.3406803,47.63825656,,,,,,,,
Queen Anne,11,13,-122.3442852,47.63715772,,,,,,,,
Queen Anne,11,14,-122.3440277,47.62541595,,,,,,,,
Queen Anne,11,15,-122.3484051,47.62443253,,,,,,,,
Queen Anne,11,16,-122.3480618,47.62061437,,,,,,,,
Queen Anne,11,17,-122.350465,47.6189366,,,,,,,,
Queen Anne,11,18,-122.3562157,47.61899446,,,,,,,,
Queen Anne,11,19,-122.3569023,47.61841591,,,,,,,,
Queen Anne,11,20,-122.3750984,47.63224153,,,,,,,,
Rainier Valley,12,0,-122.2966555,47.58902785,,,,,,,,
Rainier Valley,12,1,-122.2846392,47.5887963,,,,,,,,
Rainier Valley,12,2,-122.2877291,47.58393346,,,,,,,,
Rainier Valley,12,3,-122.2818926,47.57791218,,,,,,,,
Rainier Valley,12,4,-122.2774294,47.56887896,,,,,,,,
Rainier Valley,12,5,-122.2702196,47.56795239,,,,,,,,
Rainier Valley,12,6,-122.2667864,47.56239261,,,,,,,,
Rainier Valley,12,7,-122.2609499,47.55544206,,,,,,,,
Rainier Valley,12,8,-122.25786,47.55173472,,,,,,,,
Rainier Valley,12,9,-122.2540834,47.55382013,,,,,,,,
Rainier Valley,12,10,-122.2551134,47.56146592,,,,,,,,
Rainier Valley,12,11,-122.2516802,47.56169759,,,,,,,,
Rainier Valley,12,12,-122.248247,47.55868576,,,,,,,,
Rainier Valley,12,13,-122.2458437,47.55289329,,,,,,,,
Rainier Valley,12,14,-122.2530535,47.54849058,,,,,,,,
Rainier Valley,12,15,-122.2571734,47.54779538,,,,,,,,
Rainier Valley,12,16,-122.2619799,47.53922051,,,,,,,,
Rainier Valley,12,17,-122.2633532,47.53249869,,,,,,,,
Rainier Valley,12,18,-122.2602633,47.5273988,,,,,,,,
Rainier Valley,12,19,-122.2609499,47.52137102,,,,,,,,
Rainier Valley,12,20,-122.25683,47.51858873,,,,,,,,
